,studio,number_published,average_score
3297,Flazm,1,58
3298,Flying Carpets Games,1,58
3299,Digital Dragon,1,58
3300,MOONFACTORY SC,1,58
3301,DMG Entertainment,1,58
3302,Legacy Interactive,9,58
3303,HB Studios Multimedia,2,58
3304,Playlogic,1,58
3305,bitComposer Games,1,58
3306,Hip Games,2,58
3307,Hudson Entertainment,3,58
3308,Conspiracy Entertainment,2,58
3309,Forever Entertainment,7,58
3310,Gotham Games,2,58
3311,Cypron Studios,2,58
3312,Fogstone Games,2,58
3313,Hellbent Games,6,58
3314,Wales Interactive Ltd.,3,58
3315,Kerosene,2,58
3316,Nkidu Games Inc.,4,58
3317,Rimlight Studios,2,58
3318,Creat Studios,2,57
3319,Blackmill Games,3,57
3320,Virtual Air Guitar Company,4,57
3321,Stage 2 Studios,4,57
3322,Yuke's Company of America,6,57
3323,Little Orbit,8,57
3324,Valcon Games,1,57
3325,Farsight Technologies,1,57
3326,Gilligames,3,57
3327,e-Pie Entertainment & Technology,2,57
3328,Bandai America Inc.,1,57
3329,"Vision Videogames, LLC",1,57
3330,"TikGames, LLC",3,57
3331,Cinemaware Marquee,1,57
3332,King Games,3,57
3333,Ghostlight,3,57
3334,Vector 2 Games,1,57
3335,Nunchuk Games,1,57
3336,"Seamless Entertainment, Inc.",1,57
3337,3D ATTACK INTERACTIVE,1,57
3338,Tradewest,1,57
3339,The Bearded Ladies Consulting,1,57
3340,Xpect Games,1,57
3341,Intense,3,57
3342,Game Mechanic Studios,1,57
3343,KAYAC Inc.,1,57
3344,Majaka,1,57
3345,Nostatic Software,4,57
3346,Ocean Media LLC,1,57
3347,Ackkstudios,1,57
3348,timesymmetry,1,57
3349,Mutant Labs Ltd.,1,57
3350,Chasing Carrots,2,57
3351,Team Pixel Pi,1,57
3352,Nether Productions,1,57
3353,Sarepta studio,2,57
3354,Skobbejak Games,1,57
3355,Pixel Pi Games,1,57
3356,Rooster Teeth Games,1,57
3357,Abyssal Arts Ltd.,1,57
3358,Holospark,3,57
3359,Street Lamp Games,1,57
3360,Artax Games,1,57
3361,CyberCoconut,1,57
3362,Paramount Digital Entertainment,1,57
3363,ValuSoft,1,57
3364,Ratalaika Games,9,57
3365,Dreamcatcher,2,57
3366,Destructive Creations,3,57
3367,Raven Travel Studios,3,57
3368,WizardWorks,8,57
3369,Destineer,2,57
3370,Rockin' Android,2,57
3371,Pan Vision,4,57
3372,Expansive Worlds,2,57
3373,Lukewarm Media,2,57
3374,astragon,9,56
3375,Buka Entertainment,7,56
3376,Saber Interactive,1,56
3377,AQ Interactive,5,56
3378,bitComposer,1,56
3379,Petite Games,3,56
3380,IMGN.PRO,7,56
3381,Xicat Interactive,1,56
3382,AGENIUS Interactive,4,56
3383,Storm in a Teacup,4,56
3384,Red Mile Entertainment,5,56
3385,Kemco,3,56
3386,Maximum Games,6,56
3387,Funkitron,1,56
3388,XPEC Entertainment Inc.,3,56
3389,RTL Enterprises GmbH,1,56
3390,GameVision,1,56
3391,RTL Interactive LLC,1,56
3392,Joindots,2,56
3393,"Tall Chair, Inc.",1,56
3394,Spike Games,1,56
3395,GamersFirst,1,56
3396,Wild Card,1,56
3397,Nolithius,1,56
3398,ashley jackson,1,56
3399,22cans,2,56
3400,Padaone Games,1,56
3401,Dahku Creations,1,56
3402,Pencil Test Studios,4,56
3403,Gateway Interactive,2,56
3404,Avenged Sevenfold,1,56
3405,Virtual Basement,1,56
3406,Free Reign Entertainment,1,56
3407,Workyrie Game Studio,1,56
3408,Ghost Time Games,1,56
3409,Invincible Cat,2,56
3410,City Interactive,3,56
3411,Zoo Games,1,56
3412,Steel Penny Games,2,56
3413,Fuse Powered Inc.,3,56
3414,MagneticRealms,3,56
3415,CoderChild,4,56
3416,Moonshark,2,56
3417,Icon Games,5,55
3418,Zombie Studios,2,55
3419,RedBedlam,3,55
3420,Interceptor Entertainment,3,55
3421,LOOT Entertainment,7,55
3422,Akella,1,55
3423,Maximum Charisma,1,55
3424,Midas Interactive Entertainment,2,55
3425,Selectsoft,1,55
3426,Extra Mile Studios,2,55
3427,"Spawn Studios, Lda",1,55
3428,Just A Game,5,55
3429,Creative Artel,1,55
3430,GriN Multimedia,1,55
3431,Stuart Sinclair,1,55
3432,"TECMO KOEI GAMES CO., LTD.",1,55
3433,"YesGnome, LLC",1,55
3434,EXE Create,4,55
3435,SumomGames,1,55
3436,Allgraf,1,55
3437,"Fox Digital Entertainment, Inc.",2,55
3438,AtomicTorch,2,55
3439,Digital Happiness,1,55
3440,Fourlights,1,55
3441,Freejam,1,55
3442,Ice Water Games,2,55
3443,IQ Publishing,1,55
3444,Worm Animation,1,55
3445,Assemble Entertainment,1,55
3446,Jamit Games,1,55
3447,Live Aliens,1,55
3448,Gamecock Media Group,1,55
3449,Global Star Software,5,55
3450,Artificial Studios,3,55
3451,NHN Corporation,2,55
3452,Camel 101,2,55
3453,SilverStar,2,55
3454,Rombax Games,6,54
3455,Dolores Entertainment,3,54
3456,The Game Factory,2,54
3457,"Sanuk Software Co., Ltd.",3,54
3458,"3000AD, Inc.",4,54
3459,Saturnine Games,4,54
3460,Wizarbox,4,54
3461,Destination Games,1,54
3462,Data Becker,2,54
3463,Alten8,1,54
3464,Namco America Inc.,1,54
3465,Muzzy Lane Software,2,54
3466,Snowberry Connection,1,54
3467,Andrew Garrison,1,54
3468,Hazardous Software ,1,54
3469,BBC Worldwide,3,54
3470,Candygun Games,3,54
3471,Dolores Entertainment SL,2,54
3472,Alpha Unit,1,54
3473,Moops Games Ltd,1,54
3474,XYLA Entertainment,1,54
3475,Dong Nguyen,2,54
3476,LittleBox,1,54
3477,Webcore Games,2,54
3478,GameArt Studio GmbH,1,54
3479,Mobot Studios Inc,1,54
3480,Nilo Studios,2,54
3481,"BigBox VR, Inc.",1,54
3482,Five Star Games,4,54
3483,Activision Value,3,54
3484,Whiptail Interactive,6,54
3485,Bergsala-Lightweight,3,54
3486,Gravity,3,54
3487,TDK Mediactive,3,54
3488,Game Factory Interactive,2,54
3489,Revistronic,2,54
3490,DK Games,2,54
3491,Shiver Games,2,54
3492,Bohemia Interactive a.s.,4,54
3493,Perpetual,2,54
3494,Corecell Technology,4,53
3495,SIMS,5,53
3496,Zordix,6,53
3497,Ripcord Games,2,53
3498,Merit Studios,1,53
3499,Freeform Interactive LLC,1,53
3500,Michael Clark,1,53
3501,Farlan Entertainment,1,53
3502,Nabi Studios,1,53
3503,Hermitworks,1,53
3504,Capcom Mobile,1,53
3505,YOUOCO.COM,1,53
3506,althi Inc.,1,53
3507,800 North and Digital Ranch,1,53
3508,Skejo Studios,1,53
3509,Snowed In Studios,1,53
3510,HeSaw,3,53
3511,Loren Lemcke,1,53
3512,EM Studios Ltd,1,53
3513,Reddoll Srl,1,53
3514,Strangely Named Studio,1,53
3515,Grande Games,1,53
3516,JoyBits Co. Ltd.,1,53
3517,mamor games,1,53
3518,The Fox Software,1,53
3519,OPQAM,1,53
3520,Wisefool Studio,1,53
3521,7Levels,1,53
3522,Modus Games,4,53
3523,Teyon,2,53
3524,Cinopt Studios LLC,5,53
3525,Rainy Night Creations,3,53
3526,Wastelands Interactive,2,53
3527,UFO Interactive,2,52
3528,Bplus,5,52
3529,Takara Tomy,8,52
3530,Sakari Indie ,2,52
3531,Artefacts Studio,6,52
3532,O-Games,1,52
3533,Sunstorm Interactive,5,52
3534,Ping0,1,52
3535,Gamers Digital,3,52
3536,Iceberg Entertainment,1,52
3537,Nano Games,1,52
3538,Lapland Studio,1,52
3539,Behaviour Interactive Inc.,1,52
3540,Cypronia,5,52
3541,Keen Software House Ltd,1,52
3542,bitComposer Entertainment AG,2,52
3543,22 Cans,1,52
3544,Geniaware,1,52
3545,DOMO Studio,1,52
3546,Oldmoustache Gameworks,1,52
3547,Calvino Noir Ltd.,3,52
3548,Behaviour Interactive,1,52
3549,Destination Software,2,52
3550,Eutechnyx,3,52
3551,Zoo Digital Publishing,4,52
3552,Skonec,2,52
3553,Nunchuck Games,2,52
3554,Infinigon,2,52
3555,FoxNext VR Studio,2,52
3556,Digital Jesters,3,51
3557,Graffiti Entertainment,6,51
3558,RCMADIAX,3,51
3559,Visual Imagination Software,3,51
3560,Studio Zan,1,51
3561,Stickmen Studios,5,51
3562,GFI,1,51
3563,Personae Studios,1,51
3564,F84 Games,1,51
3565,Winking Entertainment Corporation,1,51
3566,Yoostar Entertainment Group,3,51
3567,SiuYiu Limited,1,51
3568,WHY Ideas,1,51
3569,I-FRIQIYA,1,51
3570,GMT Games LLC,1,51
3571,Marcus Eckert,1,51
3572,Gaming Corps,1,51
3573,SEGA CORPORATION,1,51
3574,Yanim Studio,2,51
3575,Happy Dance Games,1,51
3576,Garage 227,1,51
3577,Winking Entertainment,1,51
3578,Starsign,1,51
3579,V7 Entertainment Inc.,3,51
3580,Movie Games,1,51
3581,Tragnarion Studios,3,51
3582,Eurocenter,2,51
3583,"Vogster Entertainment, LLC",2,51
3584,Brain Slap Studio,2,51
3585,Outright Games,4,51
3586,Robomodo,8,50
3587,Mindscape Inc.,3,50
3588,Mindscape,3,50
3589,Storm City Games,7,50
3590,Oxygen Interactive,1,50
3591,Evolved Games,1,50
3592,Kuma Reality Games,1,50
3593,Planetwide Games,1,50
3594,SVG Distribution,1,50
3595,"Seed Studios, Lda",2,50
3596,QuantumSquid Interactive,1,50
3597,Game Hive,1,50
3598,DreamBox Games,1,50
3599,Nicolas Intoxicate,1,50
3600,Nicholas Games,1,50
3601,Lapland Studio Ltd,1,50
3602,Game Hive Corp.,1,50
3603,Escape Hatch Entertainment,1,50
3604,Ilusis Interactive Graphics,1,50
3605,Saibot Studios,1,50
3606,Action Mobile Games,1,50
3607,Fishcow Studio,1,50
3608,Game Hive Corporation,1,50
3609,Psytec Games Ltd,2,50
3610,Studios Illogika,1,50
3611,Still Games,1,50
3612,TallTech studio,1,50
3613,Lukas Navratil,1,50
3614,Oointah,1,50
3615,Truant Pixel,1,50
3616,Exploding Tuba Studios,1,50
3617,Mighty Studios LLC,1,50
3618,Screaming Villains,1,50
3619,Zushi Games Ltd,2,50
3620,Summitsoft Entertainment,2,50
3621,Jump Games Pvt.Ltd.,2,50
3622,InterServ International,3,49
3623,Recotechnology S.L.,3,49
3624,EmuraSoft,1,49
3625,"Tiki Games, Inc.",2,49
3626,O Games,1,49
3627,Lima Sky,1,49
3628,"Fox Mobile Entertainment, Inc.",1,49
3629,"Mobila Interactive, LLC",1,49
3630,BlueGiant Interactive,2,49
3631,"Gelid Games, Inc.",1,49
3632,Nocturnal Works,1,49
3633,Creative Distribution Ltd,1,49
3634,Total Monkery,1,49
3635,GMG Play,1,49
3636,OXiAB Game Studio,1,49
3637,"Anvil Drop, LLC",1,49
3638,Selenion Games LLC,1,49
3639,Krewe Studios,1,49
3640,Red Column,1,49
3641,Culture Shock Games LLC,1,49
3642,Cosmoscope GmbH,1,49
3643,Ktulhu Solutions,1,49
3644,Codestalkers,1,49
3645,MLB.com,4,49
3646,Anuman Interactive,3,48
3647,Running With Scissors,6,48
3648,Gravity Corporation,2,48
3649,Smack Down Productions,1,48
3650,React Games,2,48
3651,Emotional Robots,1,48
3652,JMJ,1,48
3653,"3000AD, Inc",2,48
3654,VD-DEV,1,48
3655,No Pest Productions,1,48
3656,Suppressive Fire Games,1,48
3657,RocketWerkz,1,48
3658,RNC,1,48
3659,Hands-On Mobile,4,48
3660,Virtual Playground,2,48
3661,CHUDCHUD INDUSTRIES,2,48
3662,Epiphany Games,4,48
3663,Oasis Games,7,47
3664,The Code Monkeys,3,47
3665,CI Games,6,47
3666,The Game Creators,1,47
3667,OGPlanet,1,47
3668,Gaia Industries,3,47
3669,Cyborg Arm Games,2,47
3670,Beyond The Pillars,1,47
3671,TinyCo,1,47
3672,Basecamp Games,1,47
3673,"PowerUp Studios, Inc.",2,47
3674,Candella Software,1,47
3675,Equity Games Production,3,47
3676,345 Games,3,47
3677,Leviathan Games,2,47
3678,EM Studios,2,47
3679,Groove Games,1,46
3680,RiverMan Media,2,46
3681,Ateam,4,46
3682,IGS,1,46
3683,Medaverse Studios,1,46
3684,Bytemark Games Inc.,1,46
3685,Immanitas Entertainment GmbH,1,46
3686,Secret Tunnel Entertainment,1,46
3687,Circle 5 Studios,1,46
3688,Bitecore,2,46
3689,LABS Games,1,46
3690,Milky Tea Studios,3,46
3691,Maximum Family Games,5,46
3692,UIG Entertainment,2,46
3693,Psyop,2,46
3694,MLB AM,7,45
3695,Mud Duck Productions,9,45
3696,GolemLabs,2,45
3697,Xendex,1,45
3698,"Scholastic, Inc.",2,45
3699,"Joju Games, Inc.",1,45
3700,Vidia,1,45
3701,LA Cops Ltd,1,45
3702,Desert Owl Games LLC,1,45
3703,Big Star Games,1,45
3704,Comedy Central Games,2,45
3705,DNS Development,3,44
3706,Biart,3,44
3707,Frozen Codebase,7,44
3708,Freeverse Software,1,44
3709,TGC,1,44
3710,BITBOX S.L.,1,44
3711,Data Realms,1,44
3712,Playerthree,1,44
3713,Sonic Boom,1,44
3714,Sideline Amusements,1,44
3715,Rawkins Games,1,44
3716,Creaciones Interactivas,1,44
3717,Natsume Inc.,3,44
3718,Elecorn,2,44
3719,Mechanic Arms,5,43
3720,Brash Entertainment,8,43
3721,Sony Interactive Studios America,1,43
3722,Pompom Software,1,43
3723,Black Wing Foundation,2,43
3724,The LEGO Group,1,43
3725,Rendercode Games,1,43
3726,Vellum Interactive,1,43
3727,CODENRAMA,1,43
3728,NamcoBandai Games Inc.,1,43
3729,Fancy Fish Games,1,43
3730,Eyemobi,1,43
3731,We The Force,2,43
3732,NO cvt,1,43
3733,Richard Seabrook,1,43
3734,"Jam City, Inc.",1,43
3735,Arcade Distillery,1,43
3736,Xibalba Studios,2,43
3737,RLR Training Inc,2,43
3738,Big Deez Productions,4,42
3739,Magnum Games,1,42
3740,CokeM Interactive,1,42
3741,Solus Games,1,42
3742,keith curtis,1,42
3743,JV Games Inc.,2,42
3744,Youda Games,1,42
3745,Viewpoint Games,1,42
3746,Microforum,3,42
3747,Happion Laboratories,2,42
3748,Kwari,1,41
3749,Clear Crown Studios,1,41
3750,Mamba Games,2,41
3751,Zed Worldwide,1,41
3752,Beret Applications LLC,1,41
3753,ThreeGates,1,41
3754,Emobi Games,1,41
3755,No Reply Games ,1,41
3756,4PM GAME,1,41
3757,Good net technology co. Ltd,1,41
3758,Allied Kingdoms,2,41
3759,Digital Leisure Inc.,1,40
3760,Aventurine S.A.,2,40
3761,"Artix Entertainment, LLC",2,40
3762,Gameshastra Inc.,1,40
3763,Funbox Media,2,40
3764,WSITech,1,40
3765,Red Hare Studios,1,40
3766,Calvin Weibel,1,40
3767,Rudder Games,1,40
3768,Phantom 8,3,40
3769,DSI Games,2,40
3770,Anarchy Enterprises,1,39
3771,Big City Games,1,39
3772,Wild Hare Entertainment,1,39
3773,Worldwide Biggies,2,39
3774,Creability,1,39
3775,Rosebud Games,1,39
3776,P.M. Studios s.r.l,1,39
3777,Motor Trend Group,1,39
3778,Lion Castle,1,39
3779,Reef Entertainment,6,39
3780,Digital Leisure,1,38
3781,InfoBank,1,38
3782,Left Behind Games,1,38
3783,Homegrown Games,1,38
3784,Mana Bomb Game Studios,2,38
3785,Dynamic Pixels,1,38
3786,Ubiquitous Entertainment Inc.,1,38
3787,Casual Brothers,1,38
3788,Nekcom,1,38
3789,Skyworks Interactive,3,38
3790,Poisoft,3,37
3791,Hoplite Research,7,37
3792,The Game Room,1,37
3793,4 Corner Games,1,37
3794,Slam Dunk Studios,1,36
3795,Leuvsion,1,36
3796,Seven45 Studios,2,36
3797,Darkstar,1,36
3798,Vogelsap,1,36
3799,NEKO WORKs,1,36
3800,neko.works,1,36
3801,Paleo Entertainment,1,35
3802,Leon Brothers,2,35
3803,Electron Jump Games,2,35
3804,Nano Games sp. z o.o. (Ltd),1,35
3805,Actos Games,1,35
3806,Reversed Interactive,1,35
3807,Interactive Magic,1,34
3808,Skyworks Technologies,6,34
3809,Spiral Game Studios,2,34
3810,FireSky,2,34
3811,WHA Entertainment,1,33
3812,United Independent Entertainment,1,33
3813,Detn8,2,33
3814,Nordcurrent,6,32
3815,Anuman,1,32
3816,Anima Game Studio,1,32
3817,Microvalue,1,32
3818,Moonbite Games,2,32
3819,Deeli network,1,32
3820,Cartel Games,1,32
3821,Undercoders,1,31
3822,Version2Games Limited,1,31
3823,AGO Games,1,31
3824,Dino Dini,1,31
3825,JV Games,3,30
3826,Boll AG,1,30
3827,T&S Ltd.,2,30
3828,4pockets.com,2,30
3829,Carbon Fire Studio,1,30
3830,Snowrunner Games,1,30
3831,"Apogee Software, Ltd.",1,29
3832,E-One Studio,1,29
3833,Dreamatrix,1,29
3834,Zatun Game Studio,1,29
3835,Studio Calaris,2,29
3836,GameMill Entertainment,4,29
3837,Cyber Planet,3,28
3838,FrontLine Studios,3,28
3839,Ultizen Games,1,28
3840,Wander,1,28
3841,Brain Candy,1,27
3842,Mezmer Games,1,25
3843,"SQUARE ENIX Co., LTD.",1,25
3844,2020 Venture,1,24
3845,GameMill Publishing,2,23
3846,XeniosVision,1,22
3847,TreeFallStudios,2,22
3848,TreeFall Studios,2,22
3849,Funsta,3,21
3850,E-Games,2,20
3851,Arktos Entertainment,1,20
3852,Data Design Interactive,3,19
3853,nuGAME,1,19
3854,D2C Games,1,18
3855,Coresoft Inc.,1,18
3856,The Role Playing Company,1,18
3857,Crafty Studios,1,18
3858,baKno Games,1,17
3859,Cyberfront Korea Corp,1,17
3860,"Speedco Shooting Sports, Inc.",1,16
3861,Solar Studios,2,15
3862,Cooply Solutions,1,15
3863,Semaphore,1,11
